time,pelvis_pitch_deg,head_pitch_deg,thigh_pitch_lt_deg,shank_pitch_lt_deg,contact_lt,foot_pitch_lt_deg,thigh_pitch_rt_deg,shank_pitch_rt_deg,contact_rt,foot_pitch_rt_deg,lumbar_flexion_deg,hip_flexion_lt_deg,knee_flexion_lt_deg,ankle_dorsiflexion_lt_deg,hip_flexion_rt_deg,knee_flexion_rt_deg,ankle_dorsiflexion_rt_deg
0,1.38694998,4.471325975,-14.34453084,-20.2189965,1000,-4.687025258,22.14885083,17.83314044,0,23.77617868,1.443114741,-15.75361079,5.848603471,15.52595916,21.15974452,4.291743542,6.064035785
0.005,1.442362855,4.565403413,-14.82302252,-20.82239621,1000,-5.037675366,22.3569301,19.0306789,0,25.31842036,1.511571584,-16.28336543,5.963171172,15.78355133,21.37067178,3.340957361,6.40372863
0.01,1.491369477,4.659702333,-15.28051263,-21.44333007,1000,-5.430698893,22.58868594,20.0597334,0,26.6829892,1.569236912,-16.78581688,6.114359786,16.01687138,21.60698556,2.588585718,6.732281226
0.015,1.532373924,4.753720084,-15.71356557,-22.08295577,1000,-5.870362613,22.83457093,20.9149411,0,27.85515225,1.614126159,-17.25629659,6.306612479,16.22278983,21.85847065,2.027239017,7.040856042
0.02,1.564159743,4.847041132,-16.11871081,-22.74253584,1000,-6.361095477,23.08382185,21.59381389,0,28.8225996,1.6448736,-17.6904875,6.544592775,16.39809743,22.11373728,1.645076886,7.32017226
0.025,1.585911018,4.939339894,-16.49249829,-23.42339399,1000,-6.90756451,23.32555878,22.09711729,0,29.57589122,1.66068932,-18.08446391,6.833109939,16.53938922,22.36143782,1.426927765,7.56049952
0.03,1.597210783,5.030389431,-16.83150655,-24.12687532,1000,-7.514764092,23.54959597,22.42902497,0,30.10876111,1.661234393,-18.4346638,7.177086344,16.64294081,22.59113035,1.35529996,7.751759546
0.035,1.598022442,5.120068737,-17.13231887,-24.85431738,1000,-8.188095372,23.74675233,22.59708417,0,30.41839538,1.64647055,-18.7378216,7.581553668,16.70460615,22.79357475,1.410999959,7.883840043
0.04,1.588660904,5.208361556,-17.39148152,-25.60702748,1000,-8.933425569,23.90889924,22.61205541,0,30.50576612,1.616565329,-18.99088749,8.051657379,16.71974264,22.96072419,1.573528101,7.947131199
0.045,1.569763336,5.295343551,-17.60547218,-26.38625211,1000,-9.75710292,24.02909969,22.48762832,0,30.37591794,1.571889423,-19.19097177,8.59262809,16.68317351,23.08578942,1.821610183,7.933142443
0.05,1.542250329,5.381154084,-17.77070065,-27.19313414,1000,-10.66592162,24.10185455,22.23999546,0,30.03804772,1.513095641,-19.33532515,9.209698375,16.58918834,23.16342545,2.133888211,7.835028593
0.055,1.507269453,5.465955198,-17.88352272,-28.0286644,1000,-11.66702251,24.12325655,21.88723368,0,29.50522218,1.441242644,-19.42132272,9.907996812,16.43160141,23.18986314,2.489610342,7.647918327
0.06,1.466124621,5.549884096,-17.94027322,-28.89363256,1000,-12.7677287,24.09096111,21.44850025,0,28.7937506,1.357933381,-19.44645634,10.69242517,16.20387317,23.16289759,2.869236343,7.3690711
0.065,1.420209373,5.63300535,-17.93731541,-29.78858514,1000,-13.9753036,24.00402368,20.94302823,1000,27.92243302,1.265447656,-19.40834589,11.56753489,15.89931575,23.08175308,3.255044287,6.998121453
0.07,1.370961755,5.715279179,-17.87111019,-30.71379144,1000,-15.29662704,23.86274869,20.3889042,1000,26.91181901,1.166819283,-19.30478679,12.53740509,15.51138841,22.94693803,3.631934271,6.53757533
0.075,1.319836762,5.796545274,-17.73830868,-31.66921023,1000,-16.73780519,23.66866142,19.80175146,1000,25.78366372,1.065796952,-19.13383063,13.6055153,15.03406245,22.76019644,3.988450046,5.99360392
0.08,1.268270761,5.876514023,-17.53588817,-32.65444676,1000,-18.30371991,23.42463287,19.19376181,1000,24.56031937,0.9666746202,-18.89389132,14.77458571,14.46224075,22.52460238,4.317600526,5.376431091
0.085,1.217629042,5.954777564,-17.26133957,-33.66871144,1000,-19.99753254,23.13514232,18.57326176,1000,23.26438235,0.8739910048,-18.5838758,16.04638631,13.79222706,22.24478877,4.61732507,4.700410469
0.09,1.169187786,6.030849935,-16.91289174,-34.71076573,1000,-21.82016613,22.80662669,17.94498883,1000,21.91847443,0.7921629606,-18.20337935,17.42151084,13.02220771,21.92721821,4.890441726,3.983501679
0.095,1.12415429,6.104230998,-16.48974548,-35.77884689,1000,-23.76979873,22.44775976,17.31102197,1000,20.5447755,0.7250762272,-17.75292378,18.89912733,12.15270514,21.58035044,5.144007055,3.245832979
0.1,1.08366586,6.174479684,-15.9922939,-36.87054765,1000,-25.84137953,22.06948018,16.67192765,1000,19.16430832,0.6756500416,-17.23415765,20.47669897,11.1869678,21.21460783,5.388299904,2.507810211
0.105,1.048746451,6.241271665,-15.42230065,-37.98266006,1000,-28.02619904,21.68449892,16.02761388,1000,17.79604581,0.6454849951,-16.64997259,22.14970733,10.13127125,20.84191,5.63562815,1.788368818
0.11,1.020224938,6.304428927,-14.78297747,-39.11102214,1000,-30.31148395,21.30601903,15.37774844,1000,16.4563806,0.6347729343,-16.00448516,23.91146885,8.995190839,20.47450709,5.898801959,1.104045992
0.115,0.9986143877,6.363926348,-14.07890669,-40.25040644,1000,-32.68019997,20.9457971,14.72186478,1000,15.15912908,0.6424570798,-15.30283123,25.75313346,7.791689046,20.12322497,6.189242441,0.4689137125
0.12,0.9839981231,6.419855931,-13.31580859,-41.39447474,1000,-35.11116848,20.61208606,14.05941174,1000,13.91573665,0.6665613919,-14.55081601,27.66388891,6.536924587,19.79559954,6.514989515,-0.1052281245
0.125,0.9759614298,6.472383456,-12.50021601,-42.53579593,1000,-37.57940261,20.30819818,13.38985046,1000,12.7353455,0.7045428604,-13.75451244,29.63130441,5.249864798,19.49458191,6.879236506,-0.6088509894
0.13,0.9735774586,6.521704232,-11.63907844,-43.66591179,1000,-40.05669023,20.03219943,12.71284673,1000,11.62474155,0.7535565458,-12.91983133,31.64177727,3.951648222,19.21829913,7.279854067,-1.034922318
0.135,0.9754510763,6.568004209,-10.73932073,-44.7754418,1000,-42.51229434,19.77774624,12.0285046,1000,10.58845788,0.8106084796,-12.05208994,33.68104176,2.664805456,18.96087569,7.709987324,-1.379032918
0.14,0.9798373641,6.61142813,-9.807434258,-45.85424838,1000,-44.91382349,19.53568004,11.33754732,1000,9.62905375,0.8726670766,-11.1556774,35.73467117,1.412301914,18.71393227,8.159455583,-1.639311629
