time,thigh_pitch_lt_deg,shank_pitch_lt_deg,contact_lt,foot_pitch_lt_deg,thigh_pitch_rt_deg,shank_pitch_rt_deg,contact_rt,foot_pitch_rt_deg,lumbar_flexion_deg,hip_flexion_lt_deg,knee_flexion_lt_deg,ankle_dorsiflexion_lt_deg,hip_flexion_rt_deg,knee_flexion_rt_deg,ankle_dorsiflexion_rt_deg
0,21.11921861,-23.66945105,0,-24.28116862,-0.699009197,-8.415207094,1000,-0.695228261,3.927595395,21.5310436,44.70931337,-1.282899078,-0.782490592,7.953026938,8.000984585
0.005,21.41105779,-21.71062194,0,-22.25709939,-1.453123619,-8.630389082,1000,-0.767927463,3.960114002,21.84003581,43.00874073,-1.163674103,-1.484263826,7.420413665,8.148298764
0.01,21.65670927,-19.71195278,0,-20.21349181,-2.215452794,-8.851333111,1000,-0.842819465,3.996134178,22.09797213,41.21990673,-1.062614294,-2.195247358,6.886759349,8.298834836
0.015,21.85570294,-17.67477582,0,-18.14905589,-2.985804165,-9.078807546,1000,-0.920127388,4.033930192,22.30593028,39.34470879,-0.97753219,-2.914321501,6.35281549,8.453037851
0.02,22.00764225,-15.60088409,0,-16.0624274,-3.76390003,-9.313632136,1000,-1.000093139,4.071727394,22.46514152,37.38585539,-0.905701196,-3.640290799,5.819478719,8.611402097
0.025,22.11226387,-13.49265712,0,-13.95230714,-4.549380051,-9.556672257,1000,-1.08299152,4.107840848,22.57694773,35.34702519,-0.843904885,-4.371979342,5.28779133,8.774454027
0.03,22.16954378,-11.35319164,0,-11.81763161,-5.341801966,-9.808831374,1000,-1.169148137,4.140765967,22.64284421,33.23304381,-0.78852558,-5.108283492,4.758938077,8.94272831
0.035,22.1798487,-9.186439826,0,-9.657769861,-6.140627976,-10.07104199,1000,-1.258958608,4.169197751,22.66461596,31.05008075,-0.73565426,-5.848159866,4.23425177,9.116739828
0.04,22.14411867,-6.99734304,0,-7.472724191,-6.945190234,-10.34425698,1000,-1.352899169,4.192007385,22.64452428,28.80584731,-0.681198571,-6.590574494,3.715236547,9.296963168
0.045,22.0640822,-4.791948351,0,-5.263319558,-7.754638448,-10.6294406,1000,-1.45154474,4.20822868,22.58550041,26.50979174,-0.620972524,-7.334461997,3.203605975,9.483803937
0.05,21.9424921,-2.577511701,0,-3.031392123,-8.56787836,-10.92755936,1000,-1.555588515,4.217077022,22.49131816,24.17328989,-0.550764129,-8.078715841,2.701329483,9.677568158
0.055,21.78336637,-0.362594733,0,-0.779973036,-9.3835137,-11.23957021,1000,-1.665863738,4.218008579,22.36674009,21.80983523,-0.466364417,-8.822210324,2.210673278,9.878426836
0.06,21.59219327,1.842853436,0,1.48651818,-10.1997994,-11.56641253,1000,-1.783362429,4.210783984,22.21763644,19.43519588,-0.363579696,-9.563818068,1.734234826,10.0863868
0.065,21.37605988,4.027471245,0,3.762057943,-11.01460728,-11.90900179,1000,-1.909253148,4.195493211,22.05106247,17.06748122,-0.238287349,-10.30239247,1.274968625,10.30126362
0.07,21.14365814,6.178598356,0,6.038771184,-11.82542145,-12.26822512,1000,-2.044906376,4.172535083,21.87523809,14.72702147,-0.086640944,-11.03673729,0.836188252,10.52264877
0.075,20.90512084,8.282549991,0,8.306683061,-12.62937807,-12.64493668,1000,-2.191910551,4.142586169,21.69936157,12.43600688,0.094559687,-11.7655979,0.421529152,10.74988628
0.08,20.67165383,10.32499771,0,10.55351776,-13.42336655,-13.03995391,1000,-2.352080575,4.106580633,21.53322653,10.21789936,0.307408249,-12.48770251,0.034856219,10.98205827
0.085,20.45497461,12.29138807,0,12.76460748,-14.20418946,-13.45405535,1000,-2.527452407,4.065756512,21.38662656,8.096667972,0.552446625,-13.20189908,-0.31988288,11.21798587
0.09,20.26659816,14.16732057,0,14.92299149,-14.96875472,-13.88798048,1000,-2.720265659,4.021740613,21.26862011,6.095927898,0.828371135,-13.90732571,-0.638834231,11.4562443
0.095,20.11705442,15.93873643,0,17.00970153,-15.71426544,-14.34243356,1000,-2.932943968,3.976640379,21.18676681,4.238190523,1.132008643,-14.60356632,-0.918411921,11.69518405
0.1,20.01513793,17.59220392,0,19.00428694,-16.4383721,-14.81809198,1000,-3.168070067,3.933081803,21.14645665,2.544003363,1.458365032,-15.29072726,-1.155437115,11.93296189
0.105,19.9672394,19.11523706,0,20.88548535,-17.13926716,-15.31561376,1000,-3.428364631,3.894172807,21.150366,1.031042987,1.800758494,-15.96943288,-1.347228808,12.16756738
0.11,19.9768324,20.49659305,0,22.63200192,-17.81570602,-15.83564345,1000,-3.716662944,3.863376022,21.19809503,-0.286754807,2.151081029,-16.64073395,-1.491630666,12.39684956
0.115,20.04424766,21.7264795,0,24.22335988,-18.46694989,-16.37882236,1000,-4.035917286,3.84431671,21.28608429,-1.399831641,2.500249631,-17.3059515,-1.586963571,12.61852256
