time,thigh_pitch_lt_deg,shank_pitch_lt_deg,contact_lt,foot_pitch_lt_deg,thigh_pitch_rt_deg,shank_pitch_rt_deg,contact_rt,foot_pitch_rt_deg,lumbar_flexion_deg,hip_flexion_lt_deg,knee_flexion_lt_deg,ankle_dorsiflexion_lt_deg,hip_flexion_rt_deg,knee_flexion_rt_deg,ankle_dorsiflexion_rt_deg
0,7.337747334,5.980910872,1000,-2.708708553,26.53830414,-34.4261952,0,-55.57263914,1.138456568,9.533744894,1.412618957,-8.23523445,30.21753635,63.91988876,-19.97471119
0.005,6.998801898,5.643599988,1000,-2.772404524,27.2179544,-33.50732062,0,-54.15222631,1.1569194,9.218127424,1.419231997,-7.976476128,30.90534021,63.59761835,-19.53536118
0.01,6.657015216,5.306848538,1000,-2.833392887,27.88407286,-32.55222246,0,-52.69124269,1.174228579,8.903245918,1.42424313,-7.715317341,31.57051933,63.21123033,-19.09509822
0.015,6.312423093,4.970501599,1000,-2.892042117,28.53573095,-31.55953133,0,-51.19113609,1.191127583,8.588402373,1.427751217,-7.452029068,32.21183522,62.76117668,-18.65517538
0.02,5.96509106,4.634396695,1000,-2.948722183,29.17182875,-30.52798273,0,-49.6532026,1.208367724,8.27285757,1.429871823,-7.186867084,32.8281496,62.24783374,-18.21670571
0.025,5.61508315,4.298366635,1000,-3.003798764,29.79112582,-29.45648509,0,-48.07866847,1.226638933,7.955895348,1.430705207,-6.920067979,33.4185173,61.67148763,-17.78075712
0.03,5.262457757,3.962246236,1000,-3.057631771,30.39227457,-28.3441455,0,-46.46875951,1.246497487,7.636907851,1.430322729,-6.651854193,33.98226466,61.03231624,-17.34844254
0.035,4.907279876,3.625878346,1000,-3.110577863,30.9738614,-27.19025959,0,-44.82474458,1.268290859,7.315485543,1.428768726,-6.382443227,34.51905396,60.33037489,-16.92098735
0.04,4.549639553,3.289120636,1000,-3.162989746,31.53444046,-25.99428774,0,-43.14795803,1.292095376,6.991485255,1.426068329,-6.112054673,35.0289018,59.56558,-16.49976564
0.045,4.189662753,2.951851253,1000,-3.215213865,32.07256262,-24.75583697,0,-41.43980674,1.317678166,6.665056653,1.42223121,-5.840914096,35.51215462,58.73770781,-16.08629988
0.05,3.827509741,2.613971603,1000,-3.267584213,32.58679876,-23.47465881,0,-39.7017604,1.344498242,6.336619104,1.417249224,-5.569251383,35.96942266,57.8464106,-15.68222005
